Ministry,Department,Item,Value
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,133448
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,563954
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,367913
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,256865
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,193394
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,330988
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,239715
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,788434
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,157715
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,141234
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,222362
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,245356
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,341618
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,323536
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,431102
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,797917
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,450647
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,387473
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,374300
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,214143
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,425636
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,494380
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,1197384
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,139132
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,601076
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,405339
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,630074
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,346295
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,203515
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,267113
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,320438
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,1561639
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,429334
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,531195
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,211546
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,667171
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,267585
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,505263
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,110946
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,169450
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,168896
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,463483
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,423099
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,586886
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,291205
